thread_id,doc_id,subject,message
THR0001,THR0001-MSG1,Google Workspace (Enterprise Gmail) at Aperture Labs — Closed Won — update,"Hi there — thanks for the interest in Google Workspace (Enterprise Gmail). I support Aperture Labs.

Happy to arrange a quick demo and share references.

Best regards,
Sales Development Representative"
THR0001,THR0001-MSG2,Google Workspace (Enterprise Gmail) at Aperture Labs — Closed Won — update,"Hi — thanks for reaching out about Google Workspace (Enterprise Gmail). We're at Aperture Labs.

We’d like to learn more about Google Workspace (Enterprise Gmail).

Could we set up a quick demo?

Our COO asked about rollout timing and change management.

Best,
Client Team"
THR0001,THR0001-MSG3,Google Workspace (Enterprise Gmail) at Aperture Labs — Closed Won — update,"Great to connect regarding Google Workspace (Enterprise Gmail) for Aperture Labs.

Happy to include your COO on the next call if helpful.

Thanks,
Account Executive"
THR0001,THR0001-MSG4,Google Workspace (Enterprise Gmail) at Aperture Labs — Closed Won — update,"Hi — thanks for reaching out about Google Workspace (Enterprise Gmail). We're at Aperture Labs.

Our COO asked about rollout timing and change management.

Best,
Client Team"
THR0002,THR0002-MSG1,Re: Gemini for Workspace at Monarch Travel — Demo Scheduled,"Hi there — thanks for the interest in Gemini for Workspace. I support Monarch Travel.

Happy to arrange a quick demo and share references.

Best regards,
Sales Development Representative"
THR0002,THR0002-MSG2,Re: Gemini for Workspace at Monarch Travel — Demo Scheduled,"Hi — thanks for reaching out about Gemini for Workspace. We're at Monarch Travel.

Our team is planning a pilot for Gemini for Workspace.

We have a few technical questions around SSO and data residency.

We’ll need flexibility on pricing given our seat count and multi-geo setup.

Our CFO would like to review the pricing structure this week.

Best,
Client Team"
THR0002,THR0002-MSG3,Re: Gemini for Workspace at Monarch Travel — Demo Scheduled,"Great to connect regarding Gemini for Workspace for Monarch Travel.

Understood on the custom terms — I’ll coordinate with our legal and pricing teams.

Happy to include your CFO on the next call if helpful.

Thanks,
Account Executive"
THR0002,THR0002-MSG4,Re: Gemini for Workspace at Monarch Travel — Demo Scheduled,"Hi — thanks for reaching out about Gemini for Workspace. We're at Monarch Travel.

Our CFO would like to review the pricing structure this week.

Best,
Client Team"
THR0003,THR0003-MSG1,Google Cloud Platform (GCP) at Stark Logistics — Demo Scheduled,"Hi there — thanks for the interest in Google Cloud Platform (GCP). I support Stark Logistics.

Happy to arrange a quick demo and share references.

Best regards,
Sales Development Representative"
THR0003,THR0003-MSG2,Google Cloud Platform (GCP) at Stark Logistics — Demo Scheduled,"Hi — thanks for reaching out about Google Cloud Platform (GCP). We're at Stark Logistics.

We’d like to learn more about Google Cloud Platform (GCP).

We have a few technical questions around SSO and data residency.

We’ll need flexibility on pricing given our seat count and multi-geo setup.

Best,
Client Team"
