product_name,message
Google Workspace (Enterprise Gmail),"Hello Marcus Lee, I'm Fred Thompson, an SDR with Google. I noticed you were exploring Google Workspace (Enterprise Gmail). We have several options that could fit your business needs. Would you have 15–20 mins this week to chat?

Sincerely,
Fred Thompson
SDR | Google"
Google Workspace (Enterprise Gmail),"Hi Fred Thompson—thanks for reaching out. Yes, we're interested. For context, I'm Marcus Lee, VP of Finance at FedEx. What Google Workspace (Enterprise Gmail) options do you recommend for a company in our industry? Also what does pricing generally look like?

Best,
Marcus Lee
VP of Finance | FedEx"
Google Workspace (Enterprise Gmail),"Appreciate the details, Marcus Lee. For Google Workspace (Enterprise Gmail), common starting points include a pilot for one team and a security/compliance review. I can loop in an AE for a quick discovery to tailor SKUs and pricing (incl. annual vs. monthly). Does Tuesday 2:00–2:30 PM work for a discovery call?

Sincerely,
Fred Thompson
SDR | Google"
Google Workspace (Enterprise Gmail),"Tuesday 2:00 PM works. Please send the calendar invite and any prep materials or a checklist for security review. If possible, include a quick comparison of tiers and a rough cost estimate.

Best,
Marcus Lee
VP of Finance | FedEx"
Gemini for Workspace,"Hello Priya Shah, I'm Anna Patel, an SDR with Google. I noticed you were exploring Gemini for Workspace. We have several options that could fit your business needs. Would you have 15–20 mins this week to chat?

Sincerely,
Anna Patel
SDR | Google"
Gemini for Workspace,"Hi Anna Patel—thanks for reaching out. Yes, we're interested. For context, I'm Priya Shah, CTO at BlueRiver Health. What Gemini for Workspace options do you recommend for a company in our industry? Also what does pricing generally look like?

Best,
Priya Shah
CTO | BlueRiver Health"
Gemini for Workspace,"Appreciate the details, Priya Shah. For Gemini for Workspace, common starting points include a pilot for one team and a security/compliance review. I can loop in an AE for a quick discovery to tailor SKUs and pricing (incl. annual vs. monthly). Does Tuesday 2:00–2:30 PM work for a discovery call?

Sincerely,
Anna Patel
SDR | Google"
Gemini for Workspace,"Tuesday 2:00 PM works. Please send the calendar invite and any prep materials or a checklist for security review. If possible, include a quick comparison of tiers and a rough cost estimate.

Best,
Priya Shah
CTO | BlueRiver Health"
Google Cloud Platform (GCP),"Hello Daniel Ortiz, I'm James Liu, an SDR with Google. I noticed you were exploring Google Cloud Platform (GCP). We have several options that could fit your business needs. Would you have 15–20 mins this week to chat?

Sincerely,
James Liu
SDR | Google"
Google Cloud Platform (GCP),"Hi James Liu—thanks for reaching out. Yes, we're interested. For context, I'm Daniel Ortiz, Head of Product at Nimbus Logistics. What Google Cloud Platform (GCP) options do you recommend for a company in our industry? Also what does pricing generally look like?

Best,
Daniel Ortiz
Head of Product | Nimbus Logistics"
Google Cloud Platform (GCP),"Appreciate the details, Daniel Ortiz. For Google Cloud Platform (GCP), common starting points include a pilot for one team and a security/compliance review. I can loop in an AE for a quick discovery to tailor SKUs and pricing (incl. annual vs. monthly). Does Tuesday 2:00–2:30 PM work for a discovery call?

Sincerely,
James Liu
SDR | Google"
Google Cloud Platform (GCP),"Tuesday 2:00 PM works. Please send the calendar invite and any prep materials or a checklist for security review. If possible, include a quick comparison of tiers and a rough cost estimate.

Best,
Daniel Ortiz
Head of Product | Nimbus Logistics"
Looker,"Hello Sofia Rossi, I'm Sophia Martinez, an SDR with Google. I noticed you were exploring Looker. We have several options that could fit your business needs. Would you have 15–20 mins this week to chat?

Sincerely,
Sophia Martinez
SDR | Google"
Looker,"Hi Sophia Martinez—thanks for reaching out. Yes, we're interested. For context, I'm Sofia Rossi, CIO at EuroBank Group. What Looker options do you recommend for a company in our industry? Also what does pricing generally look like?

Best,
Sofia Rossi
CIO | EuroBank Group"
Looker,"Appreciate the details, Sofia Rossi. For Looker, common starting points include a pilot for one team and a security/compliance review. I can loop in an AE for a quick discovery to tailor SKUs and pricing (incl. annual vs. monthly). Does Tuesday 2:00–2:30 PM work for a discovery call?

Sincerely,
Sophia Martinez
SDR | Google"
Looker,"Tuesday 2:00 PM works. Please send the calendar invite and any prep materials or a checklist for security review. If possible, include a quick comparison of tiers and a rough cost estimate.

Best,
Sofia Rossi
CIO | EuroBank Group"
Apigee API Management,"Hello Liam O'Connor, I'm Ethan Walker, an SDR with Google. I noticed you were exploring Apigee API Management. We have several options that could fit your business needs. Would you have 15–20 mins this week to chat?

Sincerely,
Ethan Walker
SDR | Google"
Apigee API Management,"Hi Ethan Walker—thanks for reaching out. Yes, we're interested. For context, I'm Liam O'Connor, Director of Engineering at SkyNet Retail. What Apigee API Management options do you recommend for a company in our industry? Also what does pricing generally look like?

Best,
Liam O'Connor
Director of Engineering | SkyNet Retail"
